sentence,label
"wisdom teeth infection, a particular type of gum infection that occurs around a wisdom tooth.",3
The swollen gum behind the tooth is a sign of an infection.,1
The swollen gum is caused by a lack of oral hygiene.,0
The swollen gum is a normal part of the healing process after a tooth extraction.,0
The swollen gum is a sign of an allergy to a specific food.,0
The swollen gum is a sign of an underlying medical condition.,0
Wisdom teeth infection,2
Gum infection around a wisdom tooth,0
Swelling in the back of the mouth,0
Difficulty closing teeth together,0
Swelling caused by a toothache,0
"The mutated gene is passed down through a family, and each generation of children can inherit the gene that causes the disease.",3
Diseases can be passed through families through genetic factors.,1
Diseases can be passed through families through environmental factors.,0
Diseases can be passed through families through lifestyle choices.,0
Diseases can be passed through families through shared living conditions.,0
Diseases can be passed through families through contaminated food sources.,0
Diseases can be passed through families due to the inheritance of a mutated gene.,2
Diseases can be passed through families through the process of spontaneous mutation.,0
Diseases can be passed through families through the process of horizontal gene transfer.,0
Diseases can be passed through families through the process of vertical gene transfer.,0
Diseases can be passed through families through the process of horizontal gene transfer and vertical gene transfer.,0
"protect your skin from free radicals, generates cell growth, and repairs damaged cells.",3
"Retinol is a form of vitamin A that helps maintain healthy skin, improve vision, and support immune function.",1
Retinol is a type of vitamin B that aids in digestion and metabolism.,0
Retinol is a mineral that strengthens bones and teeth.,0
Retinol is a protein that builds muscle mass and aids in muscle recovery.,0
Retinol is a type of vitamin C that boosts the immune system and prevents colds.,0
"Retinol helps protect the skin from free radicals, generates cell growth, and repairs damaged cells.",2
Retinol is a vitamin that only works on the skin.,0
Retinol is a vitamin that only works on the eyes.,0
Retinol is a vitamin that only works on the hair.,0
Retinol is a vitamin that only works on the nails.,0
spirochete,3
Black-legged tick (Ixodes scapularis),1
American dog tick (Dermacentor variabilis),0
Lone star tick (Amblyomma americanum),0
Brown dog tick (Rhipicephalus sanguineus),0
Deer tick (Ixodes scapularis),0
Deer ticks,2
Mosquitoes,0
Bed bugs,0
Fleas,0
Spiders,0
Non-surgical,3
Surgical procedures,1
Medication,0
Lifestyle changes,0
Alternative therapies,0
No treatment,0
Electrical cardioversion,2
Surgical procedures,0
Medication therapy,0
Lifestyle changes,0
Alternative treatments,0
"provide support, protection and nutrition for neurons, as well as maintain homeostasis and form myelin.",3
Glial cells provide structural support and insulation for neurons.,1
Glial cells are responsible for producing neurotransmitters.,0
Glial cells are involved in the immune system of the brain.,0
Glial cells are responsible for transmitting electrical signals in the brain.,0
Glial cells are responsible for the development and maintenance of synapses.,0
"Glial cells provide support, protection, and nutrition for neurons.",2
Glial cells are responsible for maintaining homeostasis in the brain.,0
Glial cells form myelin in the brain.,0
Glial cells are the main type of cells in the nervous system.,0
Glial cells are not involved in the functioning of the brain.,0
"Decreased CSF glucose may be due to hypoglycemia (low blood sugar), bacterial or fungal infection (such as meningitis), tuberculosis, or certain other types of meningitis.",3
Decreased glucose in CSF indicates a possible infection or inflammation in the central nervous system.,1
Decreased glucose in CSF indicates a normal metabolic process.,0
Decreased glucose in CSF indicates a lack of glucose in the diet.,0
Decreased glucose in CSF indicates a problem with the blood-brain barrier.,0
Decreased glucose in CSF indicates a normal glucose level.,0
"Decreased CSF glucose may be due to hypoglycemia (low blood sugar), bacterial or fungal infection (such as meningitis), tuberculosis, or certain other types of meningitis.",2
Increased CSF glucose is a sign of high blood sugar.,0
Decreased CSF glucose indicates a normal blood sugar level.,0
Decreased CSF glucose is a sign of diabetes.,0
Decreased CSF glucose is a sign of a healthy immune system.,0
"midazolam, fentanyl, valium, ketamine or a type of benzodiazepine.",3
Midazolam,1
Fentanyl,0
Propofol,0
Ketamine,0
Haloperidol,0
Midazolam,2
Fentanyl,0
Valium,0
Ketamine,0
Benzodiazepine,0
the process of translating genetic information from DNA into the proteins that do most of the work in a cell is carried out by molecular machines made of a combination of RNA and protein.,3
RNA is a molecule that carries genetic information and plays a crucial role in protein synthesis.,1
RNA is a structural component of cells.,0
RNA is a type of protein.,0
RNA is a molecule that stores energy.,0
RNA is a molecule that carries genetic information and plays a crucial role in protein synthesis.,0
RNA is a molecule that carries genetic information from DNA to the ribosomes for protein synthesis.,2
RNA is a molecule that stores genetic information in the form of nucleotides.,0
RNA is a molecule that helps in the process of transcription and translation in cells.,0
RNA is a molecule that helps in the process of DNA replication in cells.,0
RNA is a molecule that helps in the process of gene regulation in cells.,0
yes,3
Vitamin A,1
Vitamin B,0
Vitamin C,0
Vitamin D,0
Vitamin E,0
Vitamin A,2
Beta carotene,0
Vitamin D,0
Vitamin C,0
Vitamin E,0
tricuspid valve,3
tricuspid valve,1
mitral valve,0
aortic valve,0
pulmonary valve,0
bicuspid valve,0
tricuspid valve,2
bicuspid valve,0
mitral valve,0
pulmonary semilunar valve,0
aortic semilunar valve,0
borderline personality disorder,3
Borderline Personality Disorder,1
Narcissistic Personality Disorder,0
Antisocial Personality Disorder,0
Schizoid Personality Disorder,0
Histrionic Personality Disorder,0
Borderline personality disorder,2
Schizophrenia,0
Bipolar disorder,0
Narcissistic personality disorder,0
Antisocial personality disorder,0
National Immunization Awareness Month,3
Breast Cancer Awareness Month,1
Lung Cancer Awareness Month,0
Prostate Cancer Awareness Month,0
Alzheimer's Awareness Month,0
Childhood Cancer Awareness Month,0
National Immunization Awareness Month,2
National Cancer Prevention Month,0
National Heart Health Month,0
National Diabetes Awareness Month,0
National Asthma and Allergy Awareness Month,0
"itching, tingling, burning, constant aching, or a deep, shooting, or lightning bolt pain.",3
"Shingles in the eye can cause pain, redness, and blurred vision.",1
Shingles in the eye can lead to permanent vision loss.,0
Shingles in the eye is a common condition.,0
Shingles in the eye is caused by a bacterial infection.,0
Shingles in the eye is a rare condition.,0
"Itching, tingling, burning, constant aching, or a deep, shooting, or lightning bolt pain.",2
"If these symptoms appear on the face, especially near the eyes, seek medical help immediately.",0
"Other nonspecific symptoms that can occur at the same time are fever, chills, headache, and itching.",0
"The sensation can be itching, tingling, burning, constant aching, or a deep, shooting, or lightning bolt pain.",0
"If these symptoms appear on the face, especially near the eyes, seek medical help immediately.",0
ribs and the muscles between the ribs.,3
Thoracic cavity,1
Abdomen,0
Pelvic cavity,0
Cranial cavity,0
Pericardial cavity,0
mediastinum,2
chest cavity,0
lungs,0
abdomen,0
diaphragm,0
"a sudden, strong urge to urinate, urinating frequently, or awakening two or more times throughout the night to urinate.",3
"Overactive bladder symptoms include frequent urination, urgency, and nocturia.",1
Thirst is a symptom of overactive bladder.,0
Overactive bladder symptoms are caused by dehydration.,0
Drinking water can alleviate overactive bladder symptoms.,0
