qid,ans,label
0,Gum swelling behind a tooth can be a sign of an infection or inflammation.,1
0,Gum swelling behind a tooth is a common symptom of periodontal disease.,0
0,Gum swelling behind a tooth can be caused by a cracked tooth.,0
0,Gum swelling behind a tooth is a sign of an abscessed tooth.,0
0,Gum swelling behind a tooth can be a result of a loose filling.,0
1,"Diseases can be passed through families through genetic factors, environmental exposure, or lifestyle choices.",1
1,Diseases are only passed through families through genetic factors.,0
1,Diseases are never passed through families.,0
1,Diseases are only passed through families through environmental exposure.,0
1,Diseases are passed through families through lifestyle choices only.,0
2,"Retinol is a form of vitamin A that helps maintain healthy skin, improve vision, and support immune function.",1
2,Retinol is a type of vitamin B that aids in digestion and metabolism.,0
2,Retinol is a mineral found in fruits and vegetables that helps regulate blood pressure.,0
2,Retinol is a protein found in dairy products that supports muscle growth and repair.,0
2,Retinol is a type of vitamin C that boosts the immune system and prevents colds.,0
3,"Glial cells provide structural support, insulation, and nutrients to neurons in the brain.",1
3,Glial cells are responsible for producing neurotransmitters in the brain.,0
3,Glial cells are responsible for transmitting electrical signals in the brain.,0
3,Glial cells are responsible for the formation of synapses in the brain.,0
3,Glial cells are responsible for the development and maintenance of the blood-brain barrier in the brain.,0
4,Decreased glucose in CSF indicates a possible infection or inflammation in the central nervous system.,1
4,Decreased glucose in CSF indicates a normal metabolic process in the brain.,0
4,Decreased glucose in CSF indicates a lack of sugar intake in the patient's diet.,0
4,Decreased glucose in CSF indicates a problem with the patient's blood sugar levels.,0
4,Decreased glucose in CSF indicates a problem with the patient's kidneys.,0
5,Midazolam is a medication commonly used for twilight sedation during surgical procedures.,1
5,Morphine is a pain medication used for twilight sedation during surgical procedures.,0
5,Fentanyl is a powerful opioid used for twilight sedation during surgical procedures.,0
5,Valium is a benzodiazepine used for twilight sedation during surgical procedures.,0
5,Ketamine is a dissociative anesthetic used for twilight sedation during surgical procedures.,0
6,"RNA serves as a molecule that carries genetic information from DNA and is involved in various cellular processes, including protein synthesis.",1
6,RNA is a structural component of cells that provides support and stability.,0
6,RNA is a type of protein that plays a crucial role in cellular metabolism.,0
6,RNA is a molecule that helps regulate gene expression and maintains the stability of the genome.,0
6,RNA is a molecule that functions as a storage medium for genetic information in cells.,0
7,"Shingles in the eye can cause pain, redness, and blurred vision.",1
7,Shingles in the eye can only affect one eye.,0
7,Shingles in the eye can be treated with antibiotics.,0
7,Shingles in the eye can be caused by a bacterial infection.,0
7,Shingles in the eye can be prevented by getting the chickenpox vaccine.,0
8,The region between the lungs containing the heart and other organs is called the thoracic cavity.,1
8,The region between the lungs is called the abdominal cavity.,0
8,The region between the lungs is called the pelvic cavity.,0
8,The region between the lungs is called the cranial cavity.,0
8,The region between the lungs is called the pericardial cavity.,0
9,"Overactive bladder symptoms include frequent urination, urgency, and incontinence.",1
9,Thirst is a symptom of overactive bladder.,0
9,Overactive bladder is caused by dehydration.,0
9,Drinking more water can alleviate overactive bladder symptoms.,0
9,Overactive bladder is a condition that affects the kidneys.,0
10,"Fungi play a crucial role in the environment by breaking down organic matter, recycling nutrients, and forming symbiotic relationships with plants and other organisms.",1
10,Fungi are primarily responsible for causing diseases in plants and animals.,0
10,Fungi are incapable of producing their own food and rely solely on other organisms for nutrients.,0
10,Fungi are primarily found in soil and contribute little to the overall health of the environment.,0
10,Fungi are primarily responsible for the decomposition of dead organisms in the environment.,0
11,RNA-dependent RNA polymerase is an enzyme that catalyzes the synthesis of RNA molecules from DNA templates.,1
11,RNA-dependent RNA polymerase is a protein that helps in the replication of DNA.,0
11,RNA-dependent RNA polymerase is a molecule that synthesizes RNA from DNA in the absence of RNA.,0
11,RNA-dependent RNA polymerase is a type of DNA polymerase that synthesizes RNA from DNA.,0
11,RNA-dependent RNA polymerase is a ribonucleic acid that helps in the synthesis of RNA from DNA.,0
12,Trigger point injection is a therapeutic technique that involves the injection of a local anesthetic or corticosteroid into specific muscle points to alleviate pain and improve muscle function.,1
12,Trigger point injection is a surgical procedure that involves the removal of muscle tissue to alleviate pain and improve muscle function.,0
12,Trigger point injection is a type of acupuncture that involves the insertion of needles into specific muscle points to alleviate pain and improve muscle function.,0
12,Trigger point injection is a form of physical therapy that involves the application of heat or cold to specific muscle points to alleviate pain and improve muscle function.,0
12,Trigger point injection is a type of massage therapy that involves the manipulation of muscle tissue to alleviate pain and improve muscle function.,0
13,"DNA replication is the process by which a cell duplicates its genetic material, creating two identical copies of the DNA molecule.",1
13,"DNA replication occurs in the nucleus of the cell, where the DNA double helix unwinds and separates into two strands.",0
13,"The process of DNA replication involves the use of enzymes called DNA polymerases, which synthesize new strands of DNA by adding complementary nucleotides.",0
13,"During DNA replication, the two strands of the DNA double helix serve as templates for the synthesis of new strands, ensuring that the genetic information is preserved.",0
13,DNA replication is a highly regulated process that ensures the accuracy and fidelity of the genetic information being copied.,0
14,"After elbow surgery, patients can expect a recovery period of several weeks to months, during which they may experience pain, swelling, and limited mobility.",1
14,"After elbow surgery, patients can expect to return to their normal activities within a few days.",0
14,"After elbow surgery, patients can expect to experience no pain or discomfort during the recovery process.",0
14,"After elbow surgery, patients can expect to regain full mobility and strength in their elbow immediately.",0
14,"After elbow surgery, patients can expect to experience no physical therapy or rehabilitation.",0
15,The detrusor muscle is a smooth muscle that contracts to expel urine from the bladder.,1
15,The detrusor muscle is a type of striated muscle that controls the movement of food through the digestive system.,0
15,"The detrusor muscle is a part of the respiratory system, responsible for expanding and contracting the lungs.",0
15,"The detrusor muscle is a component of the circulatory system, responsible for pumping blood throughout the body.",0
