qid,ans,label
0,Swollen gums behind the last tooth are likely due to wisdom teeth infection.,2
0,Swollen gums behind the last tooth are caused by a tooth abscess.,0
0,Swollen gums behind the last tooth are a result of a gum disease.,0
0,Swollen gums behind the last tooth are caused by a sinus infection.,0
0,Swollen gums behind the last tooth are a sign of a throat infection.,0
1,"Diseases can be passed through families due to the inheritance of a mutated gene, which causes a monogenic disease.",2
1,Diseases are passed through families due to environmental factors and lifestyle choices.,0
1,Diseases are passed through families due to the influence of the parents' genes on the child's development.,0
1,Diseases are passed through families due to the child's exposure to the disease during pregnancy.,0
1,Diseases are passed through families due to the child's genetic makeup from both parents.,0
2,"Retinol is the whole vitamin A molecule, which is one of the best vitamins for your skin. It is a potent antioxidant that protects your skin from free radicals, generates cell growth, and repairs damaged cells.",2
2,Retinol is a type of vitamin C that helps with skin health.,0
2,Retinol is a form of vitamin B that aids in skin repair.,0
2,Retinol is a vitamin D derivative that improves skin elasticity.,0
2,Retinol is a vitamin E derivative that prevents wrinkles and fine lines.,0
3,"Glial cells provide support, protection, and nutrition for neurons, maintain homeostasis, and form myelin in the brain.",2
3,Glial cells are responsible for producing neurotransmitters in the brain.,0
3,Glial cells are the primary source of energy for neurons in the brain.,0
3,Glial cells are responsible for transmitting electrical signals in the brain.,0
3,Glial cells are the only type of cells in the brain that can regenerate after injury.,0
4,"Decreased CSF glucose may be due to hypoglycemia (low blood sugar), bacterial or fungal infection (such as meningitis), tuberculosis, or certain other types of meningitis.",2
4,Increased CSF glucose is a sign of high blood sugar.,0
4,Decreased CSF glucose is always a sign of low blood sugar.,0
4,Decreased CSF glucose is only related to bacterial or fungal infections.,0
4,Decreased CSF glucose is a sign of tuberculosis.,0
5,Midazolam,2
5,Valium,0
5,Ketamine,0
5,Fentanyl,0
5,Benzodiazepine,0
6,RNA plays a crucial role in protein synthesis by translating genetic information from DNA into proteins that perform various functions in a cell.,2
6,RNA is only involved in the process of DNA replication.,0
6,RNA is responsible for the storage and transmission of genetic information.,0
6,RNA is a structural component of the cell's cytoskeleton.,0
6,RNA is solely responsible for the regulation of gene expression.,0
7,"Shingles in the eye can cause severe pain, redness, and sensitivity to light.",2
7,Shingles only affect the skin and never the eyes.,0
7,Shingles symptoms are limited to a rash and fever.,0
7,Shingles is a rare condition that only affects a small percentage of the population.,0
7,Shingles is a contagious disease that can be spread through direct contact with an infected person.,0
8,The mediastinum is the region between the lungs containing the heart and other organs.,2
8,The mediastinum is the space between the lungs and the spine.,0
8,The mediastinum is the area between the lungs and the ribcage.,0
8,The mediastinum is the region between the lungs and the diaphragm.,0
8,The mediastinum is the space between the lungs and the breastbone.,0
9,"Overactive bladder symptoms include a sudden, strong urge to urinate, urinating frequently, and awakening two or more times throughout the night to urinate.",2
9,Overactive bladder symptoms are only experienced by women.,0
9,Overactive bladder symptoms are caused by drinking too much water.,0
9,Overactive bladder symptoms are a result of a urinary tract infection.,0
9,Overactive bladder symptoms are a sign of a serious medical condition.,0
10,Fungi help the environment by eating bad or harmful bacteria and by protecting the good or harmless bacteria.,2
10,Fungi only break down dead organic matter in the environment.,0
10,Fungi are harmful to the environment because they cause diseases in plants and animals.,0
10,Fungi are not important for the environment because they do not contribute to the food chain.,0
10,Fungi are beneficial to the environment because they help in the decomposition of organic matter.,0
11,RNA-dependent RNA polymerase is an enzyme that synthesizes RNA from an RNA template during viral replication.,2
11,RNA-dependent RNA polymerase is a type of DNA polymerase that synthesizes an RNA copy of the sequence in a limited region of DNA during DNA transcription.,0
11,RNA-dependent RNA polymerase is a bacterial enzyme that functions at high temperatures and is used in the polymerase chain reaction.,0
11,RNA-dependent RNA polymerase is a viral enzyme that synthesizes DNA from an RNA template during viral replication.,0
11,RNA-dependent RNA polymerase is a DNA-dependent RNA polymerase that synthesizes RNA from a DNA template during DNA transcription.,0
12,"20552 is reported for 1 or 2 muscle groups injected, and 20553 is reported for 3 or more muscle groups injected.",2
12,20552 is reported for 3 or more muscle groups injected.,0
12,20553 is reported for 1 or 2 muscle groups injected.,0
12,20552 is reported for 3 or more muscle groups injected and 20553 is reported for 1 or 2 muscle groups injected.,0
12,20552 is reported for 1 or 2 muscle groups injected and 20553 is reported for 3 or more muscle groups injected.,0
13,DNA replication is the process by which DNA makes a copy of itself during cell division. It involves unzipping the double helix structure and adding chunks of DNA called Okazaki fragments to the lagging strand in the 5' to 3' direction.,2
13,DNA replication is the process by which DNA makes a copy of itself during cell division. It involves unzipping the double helix structure and adding chunks of DNA called Okazaki fragments to the lagging strand in the 3' to 5' direction.,0
13,DNA replication is the process by which DNA makes a copy of itself during cell division. It involves unzipping the double helix structure and adding chunks of DNA called Okazaki fragments to the leading strand in the 5' to 3' direction.,0
13,DNA replication is the process by which DNA makes a copy of itself during cell division. It involves unzipping the double helix structure and adding chunks of DNA called Okazaki fragments to the leading strand in the 3' to 5' direction.,0
13,DNA replication is the process by which DNA makes a copy of itself during cell division. It involves unzipping the double helix structure and adding chunks of DNA called Okazaki fragments to the lagging strand in the 3' to 5' direction.,0
14,"After elbow surgery, you'll need to stay in the hospital for up to 4 days, wear a bandage and splint, and take strong pain medications for recovery.",2
14,"After elbow surgery, you'll be able to walk around immediately without any assistance.",0
14,"After elbow surgery, you'll only need to wear a bandage for a few days before removing it.",0
14,"After elbow surgery, you'll be able to return to your normal activities within a week.",0
14,"After elbow surgery, you'll need to avoid lifting heavy objects for at least 6 months.",0
15,"The Detrusor Muscle is a layer of the Urinary Bladder wall, composed of smooth muscle fibers arranged in spiral and circular bundles.",2
15,"The Detrusor Muscle is a layer of the Urinary Bladder wall, made up of circular muscle fibers.",0
15,"The Detrusor Muscle is a layer of the Urinary Bladder wall, consisting of smooth muscle fibers arranged in a single layer.",0
15,"The Detrusor Muscle is a layer of the Urinary Bladder wall, composed of smooth muscle fibers arranged in a linear pattern.",0
15,"The Detrusor Muscle is a layer of the Urinary Bladder wall, made up of circular muscle fibers arranged in a single layer.",0
16,It takes five half-lives for an antibiotic to clear a person's system completely.,2
16,Antibiotics are eliminated from the body within a few hours.,0
16,Antibiotics are eliminated from the body within a few days.,0
16,Antibiotics are eliminated from the body within a few weeks.,0
16,Antibiotics are eliminated from the body within a few months.,0
17,"Hemochromatosis can affect many parts of the body and cause various signs and symptoms, such as fatigue, joint pain, and stomach pain.",2
17,Hemochromatosis only affects the liver and causes liver damage.,0
17,Hemochromatosis is a rare disease that only affects women.,0
17,Hemochromatosis is a genetic disorder that only affects men.,0
17,Hemochromatosis is a disease that only affects the elderly.,0
18,"Proton pump inhibitors (PPIs) are a group of medicines that work on the cells that line the stomach, reducing the production of acid.",2
18,Protein pump therapy is a treatment for heart failure.,0
18,Protein pump therapy is a type of medication used to treat acid reflux.,0
18,Protein pump therapy is a type of medication used to treat high blood pressure.,0
18,Protein pump therapy is a type of medication used to treat diabetes.,0
19,"Bright green stool is caused by the presence of bile in the stool, which is produced by the liver and helps in digesting fats and fat-soluble vitamins.",2
19,Bright green stool is a sign of liver failure.,0
19,Bright green stool is a result of consuming green vegetables.,0
19,Bright green stool is caused by a lack of bile production in the liver.,0
19,Bright green stool is a symptom of a parasitic infection in the digestive system.,0
20,"Milk, yogurt, and cheese are rich natural sources of calcium.",2
20,Spinach is a good source of calcium.,0
20,Calcium is only found in dairy products.,0
20,Calcium is not important for bone health.,0
20,Calcium is only found in fruits.,0
21,"When you breathe in gas, symptoms depend on the type of gas, the depth and duration of inhalation, and can include irritation of the eyes or nose, cough, blood in the sputum, and shortness of breath.",2
21,"When you breathe in gas, you will experience immediate pain and discomfort.",0
21,"When you breathe in gas, you will not experience any symptoms.",0
21,"When you breathe in gas, you will only experience symptoms if you have a pre-existing lung condition.",0
21,"When you breathe in gas, you will only experience symptoms if you have a history of smoking.",0
22,"Extreme indigestion feels like a severe, persistent discomfort in the upper abdomen, often accompanied by pain, burning sensation, and heartburn.",2
22,"Extreme indigestion feels like a mild, occasional discomfort in the lower abdomen, similar to gas or bloating.",0
22,"Extreme indigestion feels like a sharp, stabbing pain in the chest, similar to a heart attack.",0
22,"Extreme indigestion feels like a dull, aching pain in the back, similar to a muscle strain.",0
22,"Extreme indigestion feels like a sudden, intense pain in the head, similar to a migraine.",0
23,Vaginal yeast infection,2
23,Bacterial infection,0
23,Fungal infection,0
23,Viral infection,0
23,Parasitic infection,0
24,"The mucous membrane that lines the nasal cavity serves to filter, humidify, and warm the air as it passes through the nostrils.",2
24,The mucous membrane in the nasal cavity is responsible for producing mucus to trap dust particles and prevent infections.,0
24,The mucous membrane in the nasal cavity is primarily involved in the sense of smell.,0
24,The mucous membrane in the nasal cavity is responsible for producing sneezing and coughing reflexes.,0
24,The mucous membrane in the nasal cavity is primarily involved in the sense of taste.,0
25,"Cardiovascular disease (CVD) is a class of diseases that involve the heart or blood vessels, including coronary artery diseases (CAD) such as angina and myocardial infarction (heart attack).",2
25,Cardiovascular disease is a rare condition that only affects a small percentage of the population.,0
25,Cardiovascular disease is a single disease that affects only the heart.,0
25,Cardiovascular disease is a group of diseases that only affect the blood vessels.,0
25,Cardiovascular disease is a condition that only affects the blood vessels and not the heart.,0
26,"Yes, Clindamycin has anaerobic coverage.",2
26,"No, Clindamycin does not have anaerobic coverage.",0
26,Clindamycin is not an antibiotic.,0
26,Clindamycin is only effective against gram-positive bacteria.,0
26,Clindamycin is not approved by the FDA for the treatment of anaerobic infections.,0
27,"Laxatives are substances or drugs that stimulate the intestines, causing the body to eliminate waste.",2
27,Laxatives are only used for constipation and have no other medical purposes.,0
27,Laxatives are not effective in treating constipation caused by a lack of water in the diet.,0
27,Laxatives are not safe to use for long periods of time and can cause side effects.,0
27,Laxatives are only effective when taken with a high-fiber diet.,0
28,Lidoderm patch is used to relieve nerve pain after shingles (post-herpetic neuralgia).,2
28,Lidoderm patch is used to treat migraines.,0
28,Lidoderm patch is used to treat arthritis pain.,0
28,Lidoderm patch is used to treat anxiety and depression.,0
28,Lidoderm patch is used to treat insomnia.,0
29,"Carbamazepine is an anticonvulsant drug that treats seizures, bipolar disorder, and nerve pain.",2
29,Carbamazepine is a type of antibiotic used to treat infections.,0
29,Carbamazepine is a blood thinner that prevents blood clots.,0
29,Carbamazepine is a muscle relaxant that alleviates muscle tension and pain.,0
29,Carbamazepine is a stimulant that increases energy levels and alertness.,0
30,The immune system works together with other organ systems to protect the body from pathogens by identifying and eliminating them.,2
30,"The digestive system is responsible for breaking down food and absorbing nutrients, while the immune system fights off infections.",0
30,"The respiratory system filters air and oxygenates the blood, while the immune system defends against foreign invaders.",0
30,"The circulatory system transports blood and nutrients throughout the body, while the immune system defends against infections.",0
30,"The nervous system controls bodily functions and processes, while the immune system fights off infections.",0
31,Gingival recession or resorption of the gingival papilla,2
31,Poor oral hygiene,0
31,Teeth grinding,0
31,Inadequate diet,0
31,Insufficient saliva production,0
32,"Reishi mushroom is used for boosting the immune system, treating viral infections, lung conditions, heart disease, kidney disease, cancer, and liver disease.",2
32,Reishi mushroom is only effective in treating lung conditions.,0
32,Reishi mushroom has no effect on viral infections.,0
32,Reishi mushroom can lower blood pressure in people with high blood pressure.,0
32,Reishi mushroom is not effective in treating cancer.,0
33,Industrial hemp is a variety of Cannabis sativa that is genetically different from marijuana and primarily grown as an agricultural crop.,2
33,Industrial hemp is a type of marijuana plant used for medicinal purposes.,0
33,Industrial hemp is a strain of cannabis that is bred for its high THC content.,0
33,Industrial hemp is a type of cannabis plant that is illegal in most countries due to its psychoactive properties.,0
33,Industrial hemp is a variety of cannabis that is used for recreational purposes.,0
34,"Charcot-Marie-Tooth Disease (CMT) is a genetic disease of nerves, characterized by progressive muscle weakness, particularly in the arms and legs.",2
34,Charcot-Marie-Tooth Disease is a rare condition caused by a vitamin deficiency.,0
34,Charcot-Marie-Tooth Disease is a neurological disorder that affects only the hands and feet.,0
34,Charcot-Marie-Tooth Disease is a hereditary condition that only affects the legs.,0
34,Charcot-Marie-Tooth Disease is a rare autoimmune disorder that affects the nervous system.,0
35,A paternity test is a medical test that determines the likelihood that a man is the father of a particular child by comparing DNA samples from the potential father and the child.,2
35,A paternity test is a genetic test that compares the DNA of a child with that of the mother to determine the father's identity.,0
35,A paternity test is a legal procedure that requires a court order to determine the father of a child.,0
35,A paternity test is a simple blood test that can be performed at home to confirm the father of a child.,0
35,A paternity test is a genetic test that compares the DNA of a child with that of the father to determine the mother's identity.,0
36,"Hypnotic drugs, also known as sleeping pills, are a class of psychoactive drugs that primarily function to induce sleep and are used in the treatment of insomnia or surgical anesthesia.",2
36,Hypnotic drugs are only used for treating insomnia and have no other medical purposes.,0
36,Hypnotic drugs are a type of sedative that can be used for both short-term and long-term treatment of insomnia.,0
36,"Hypnotic drugs are a class of drugs that can be used for both sleep induction and surgical anesthesia, but are not related to sedatives.",0
36,"Hypnotic drugs are a class of drugs that can be used for both sleep induction and surgical anesthesia, but are not related to sedatives and have no side effects.",0
37,"Melatonin is produced by the pineal gland in all vertebrates, as well as in extrapineal organs such as the eye, GI tract, bone, skin, lymphocytes, platelets, and thymus.",2
37,Melatonin is only produced by the pineal gland in vertebrates.,0
37,"Melatonin is produced by the pineal gland in all vertebrates, but not in extrapineal organs.",0
37,"Melatonin is produced by the pineal gland in vertebrates, but not in extrapineal organs.",0
37,"Melatonin is produced by the pineal gland in vertebrates, but not in extrapineal organs, such as the eye, GI tract, bone, skin, lymphocytes, platelets, and thymus.",0
38,Pain in the shoulder when doing a repetitive shoulder activity that eventually becomes noticeable when the shoulder is at rest.,2
38,Pain in the shoulder when lifting heavy objects.,0
38,Pain in the shoulder when performing overhead activities.,0
38,Pain in the shoulder when reaching for objects on high shelves.,0
38,Pain in the shoulder when engaging in sports activities.,0
